[2019-02-09T20:29:36+0100] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: 0635d27692; save: region2; SC_WORLD_UNLOADED; game type NONE (11)
[2019-02-09T20:30:05+0100] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: 0635d27692; save: FirstPlay; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-02-09T20:33:42+0100] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: 0635d27692; save: FirstPlay; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-02-09T20:34:41+0100] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: 0635d27692; save: FirstPlay; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-02-09T20:36:50+0100] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: 0635d27692; save: FirstPlay; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-02-09T20:37:49+0100] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: 0635d27692; save: FirstPlay; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-02-09T20:39:12+0100] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: 0635d27692; save: FirstPlay; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-02-09T20:40:29+0100] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: 0635d27692; save: FirstPlay; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-02-09T20:41:59+0100] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: 0635d27692; save: FirstPlay; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-02-09T20:56:54+0100] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: 0635d27692; save: FirstPlay; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2019-02-09T20:56:54+0100] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: 0635d27692; save: FirstPlay; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2019-02-11T01:16:50+0100] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: 70aef250bc; save: FirstPlay; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-02-11T01:16:51+0100] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: 70aef250bc; save: FirstPlay; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-02-11T01:59:38+0100] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: 70aef250bc; save: FirstPlay; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2019-02-11T01:59:38+0100] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: 70aef250bc; save: FirstPlay; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2019-02-11T23:22:53+0100] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: 70aef250bc; save: FirstPlay; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-02-11T23:22:53+0100] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: 70aef250bc; save: FirstPlay; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-02-11T23:23:04+0100] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: 70aef250bc; save: FirstPlay; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2019-02-11T23:23:48+0100] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: 70aef250bc; save: FirstPlay; SC_WORLD_UNLOADED; game type NONE (11)
[2019-02-11T23:24:10+0100] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: 70aef250bc; save: FirstPlay; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-02-11T23:25:11+0100] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: 70aef250bc; save: FirstPlay; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-02-11T23:54:55+0100] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: 70aef250bc; save: FirstPlay; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2019-02-11T23:54:55+0100] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: 70aef250bc; save: FirstPlay; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
